jobs_type,title,jobs_text,URLs
tools, Developing web scraping program ,"""We would like a program that allows us to scrape our competitor websites. Our business is to buy used Apple products from customers. We and our competitors has a caculator on there site that shows people how much they will receive for there used Apple products. The core of this program is to scrape the prices that our competitors give to there customers. 
 
For example one of our competitors is Swappie (check screencast): I calculated a iPhone 13 Pro Max. We want to have all the different prices like this in an excel sheet (check attachments)  
 
Our competitors are: Swappie, 123verkopen and mresell.""",https://www.upwork.com/jobs/Developing-web-scraping-program_~0171c4034f94c681b9?source=rss
data, Data extraction/ mining/ scraping of Amazon and Noon for the top selling items ,"""I'm looking for someone who is capable of scraping Amazon and noon for the top selling items of certain categories  
 
When sending your offer, please provide a list of your pervious work""",https://www.upwork.com/jobs/Data-extraction-mining-scraping-Amazon-and-Noon-for-the-top-selling-items_~01840267b104aab766?source=rss
tools, Build a comparison tool ,"""Parts of this job may require database and indexing skillset.   
View the Comparison Tool 2022 file to see more details about this job. 
 
This job will be broken up into 3 milestones.   
 
Milestone 1: $50 
Write code that edits excel files and reprints the data on 2 new tabs in a vertical format instead of the horizontal way it is now. 
 
Milestone 2: $200 to $250 
Create an app/program that finds all the outputs that are within proximity of each other and present them in a bucketed manner. 
 
Milestone 3: $250 to $450 
Add functionality to the program created in milestone 2.  
Make custom searches available.   
 
I use Excel to manually perform my searches.  You can use whatever you determine is best for this job.   
I need all three milestones complete before Wednesday, February 2nd.  If this work is beyond your skillset and/or you can't complete it by then, please don't apply.   
 
Those who want to be considered for Milestones 2 and 3 need to download the updated Tester File(s) and look at how I perform milestone 3 manually on the results sheet.  This is the process I need automated.  Example 3 is critical in understanding my process.  
Show your competency by creating a report for time block 61, making buckets between 23.270 and 23.320 for group 1 only..  This is a very small area of the potential full range.  Provide what you think buckets should look like for milestone 2 and 3 for the range I just mentioned.  Use a proximity of 0.003 for when a mandatory time is found.  
Send me your results and I'll check to see if you got the right answers.  If you do, then I know I can give you the job. 
 
Here's an overview of the Grid file your program will be working with.   
Typically, Gird files come with about 3.6 Million outputs spread out over 300 Time Blocks.  Each Time Block has about 12,000 outputs.  Each group in a Time Block has about 4,000 outputs. So when your program searches one time block, it searches each group for matches, potentially searching up to 4,000 outputs at a time.    
When the request is to search 3 times block at once, for example, your program would be comparing 12,000 outputs per group.  """,https://www.upwork.com/jobs/Build-comparison-tool_~011fde315b409f97ca?source=rss
tools, A Python code for Walmart API to setup listings ,"""I am looking for a short Python code that can bulk create/update listings using Walmart partner API (post).""",https://www.upwork.com/jobs/Python-code-for-Walmart-API-setup-listings_~010561d72a8c8f460b?source=rss
tools, Senior Python Scrapper with Shopify development experience  ,"""
We are looking for team or expert this may be dual role 
 
1-  Python Scrapper to help us  create the automation to scrap the website they will be listing the products to Shopify  
1-  Shopify Web Development complete the development of shopify products  
 
 
 
Additional information  
Scape Various products from websites 
apply the pricing rules and create in readable format for shopify 
Create the schedule automation format  
Create the Shopify readable format  
ensure the accuracy of data in transformation 
complete the development of shopify website  
 
 
For consideration  you must have following  
 
you are aware of shopify file format 
you have done web scrapping to load the products in to shopify  
 
 """,https://www.upwork.com/jobs/Senior-Python-Scrapper-with-Shopify-development-experience_~017fd7e2a2f9b8816e?source=rss
tools, Price scrape API developement ,"""Need to to develop a pricing and description API for retail products scanning""",https://www.upwork.com/jobs/Price-scrape-API-developement_~01960dcee6e09a7ebc?source=rss
tools, Website Scraper ,"""Scrape 7 e-commerce websites. 
 
The functionality of scrapers includes: 
 
Collection of specified information on each page (breadcrumb, description, tabular data etc.). 
 
Ability to log in and then: 
   -Ability to scrape the entire site. 
   -Ability to scrape the price of an item from a single webpage on demand. 
 
Deployment of these functionalities as a fastAPI. 
 
Code to be handed over upon completion of the above.""",https://www.upwork.com/jobs/Website-Scraper_~012611b70cc561a47a?source=rss
tools, Script to scrape Website and update Wordpress  ,"""Coder to do script to import products by scraping and import into woo commerce""",https://www.upwork.com/jobs/Script-scrape-Website-and-update-Wordpress_~0149b1fcce94264a96?source=rss
tools, Web Scraping after purchase ,"""Hey I need a programm that when somoene buys something on my shop. The program automaticly buys it on a other webshop. When the program buys it on my account on that other webshop. It will recieve an alt account (an game account) that is completly legal, you can check fot yourself later. Then the bot needs to login into the account on the website where the alt is bought and it will see what I will attach in files. (Picture of screen with purchases). Then it can do 2 things. Or copy the new account. Or Download it als .TXT. After that the login details or TXT need to be send to the customers email, from our business email. With some text then the .TXT file or the log in details. I know this is really complicated but yes. I also atatched PDF with all info.""",https://www.upwork.com/jobs/Web-Scraping-after-purchase_~01722137e8bcba1338?source=rss
tools, Amazon Number checker ,"""You can use any language any script 
all i need is i will upload list of phone numbers in .csv or .txt file 
and download output in .csv or .txt 
and software will start looking numbers are register or not on amazon 
i need super fast without geting ip block or any delay 
SPEED IS IMPORTANT FACTOR 
you can use multiple thread or do any thing all i need is super fast 
without proxy vpn or extarnal browser running on screen 
need software """,https://www.upwork.com/jobs/Amazon-Number-checker_~01bd7cb15c6fa423b4?source=rss
tools, Create a Website scraper for my website ,"""Create a Website scraper for my website That takes data from another Wordpress website to ours.""",https://www.upwork.com/jobs/Create-Website-scraper-for-website_~011b668c6e0cbb0b73?source=rss
tools, Data Scraping using Python ,"""Hii All, I am working on an opencart ecommerce website project. 
the website is based on Ayurvedic medicines under the domain name ayurvedmarket.com. 
i am from india and i need data of all medicines of all major ayurvedic companies in India(take example from : 1mg.com) 
 
i need (Multiple Images+ price(MRP and discounted price)+ description+ substitutes)""",https://www.upwork.com/jobs/Data-Scraping-using-Python_~019e0d5fdbdd0d3ae4?source=rss
tools, Product Page Scraping Bot ,"""Our product Trolli is a Chrome extension shopping basket. When a Trolli user is (signed in and Trolli is active) is on a product page Trolli will manually scrape relevant information from the page (The product price etc) and will display this on our widget, giving the user the option to save this item (and the info) in their basket. 
We would like the automate this process, as well as automatically adding new websites to be scraped, as a user visits a new website. 
Objective: 
To scrape from a webpage - Webpage URL, Website name, Product title, Product Image, Product 
Price. 
 
Currently: 
We have a JSON file websites' with a dictionary of websites. 
We manually inspect each webpage and take the classname (and for some cases - for the image the child element) for each relevant div. 
These classnames are manually added to our JSON file which is then called when we run our extension. 
 
url: 'aliexpress.com' 
website: 'aliexpress' 
titleSelectors: ['.product-title'], 
imageSelectors: ['.image-view-magnifier-wrap img'], 
priceSelectors: ['.uniform-banner-box-price'], 
 
On each webpage we run our JS and loop through the 'websites' urls until we have a match with the current location.href 
When we have a match we have a function to getTextElement or getlmageElement by using the 'websites' selectors to querySelector the relevant information. 
 
What we want: 
When Trolli is active and a user is on any web page: 
- To recognise a product page (looking for relevant info - price etc) 
- Automatically scrape the ÜRL, website name (usually from URL), title, image and price from page. 
JSON file to be automatically updated when a previously unknown website is added with the info (above.) 
(We will then integrate this into our function for displaying and saving the info) 
(An automated testing/QA system)""",https://www.upwork.com/jobs/Product-Page-Scraping-Bot_~017b03e2311706d515?source=rss
tools, Scrape website data so we can create a mock API ,"""We have a number of retail websites we wish to scrape so that we can create mock APIs to test the product we are building.  
 
This work will involve: 
 
1. Going to the retail website (we will confirm them with you when you start).  
2. Scraping each category of product for the name, image, pricing.  
3. Populating this into a Google spreadsheet.  
""",https://www.upwork.com/jobs/Scrape-website-data-can-create-mock-API_~015a6792e9309a7f94?source=rss
tools, Script for price comparison data ,"""I am looking for someone to create a script to undertake insurance quotes. I can provide the inputs for each of the quotes - there will likely be 5-10 different set of inputs for different risks. 
 
I'd like to run the script on aggregator websites (which I can provide) and export the results that are returned or connect them to and display them on a wordpress site.   
 
The frequency of this is likely to be monthly initially, so would need someone willing and able to repeat this in that timescale. But perhaps if it's possible to build this to pull in real time quotes. 
 
To be a best fit for this project you need: 
 
- Ability to communicate clearly 
- Dedication to meet project deadlines in a timely manner 
- Attention to detail 
- Willingness to sign an NDA 
 
If you are interested in this project, please reply with your prior experience. 
 
- How would you tackle this problem. 
- A list of qualifications that make you suitable.""",https://www.upwork.com/jobs/Script-for-price-comparison-data_~017a244688d61f39f9?source=rss
tools, Shopify custom app  ,"""Hi im Shuayb ahmed 
 
I would like a private shoplify app created for a new website that I am building,  
 
What I want is a way to filter through other websites like, zara, H&M, Nike, primark, Footlocker, JDsports etc and more websites in the future, what products on their sites are available in store, and with that information, id like to be able to list the products that are in store on my website if that is ok, and if new products are added to the store, or no longer in the store my website is updated with that information 
 
This will only be for London region, for now 
 
I want to make it so in the future we can easily add more stores and more options if that is ok  
 
We want to be able to change titles, and descriptions on our own website for each listing that is put on, but we want to make sure that when the availability is no longer in store then the listing is put as out of stock. 
 
We currently do this in our MVP manually by selecting the item of clothing and pressing the availability in store button and putting our postcode, so we want to automate this process using this function that is already on  these stores websites""",https://www.upwork.com/jobs/Shopify-custom-app_~0146a38d0e4aa30c44?source=rss
tools, Collect data via scraping ,"""Hi, 
 
We would like to scrape some website to verify that our product are in online. 
1/ scrap a list of website 
2/ compare this data with our list 
 
2 times a week at the beginning 
 
We do not have an idea of price 
then bugdet is open, we can discuss together. Thanks""",https://www.upwork.com/jobs/Collect-data-via-scraping_~01430f32a9c853ee5d?source=rss
data, Product Details Web Scrape ,"""We are looking for someone to scrape a website for all product details and input them into an excel template. Details and instructions will be explained via chat upon further interest!""",https://www.upwork.com/jobs/Product-Details-Web-Scrape_~0159ad42a193dd5dc8?source=rss
data, Web Scraping for Auction Data ,"""Looking for someone who can scrape auction data from an e-commerce website and compile into an analyzable format.  
 
Deliverables: 
Database that shows total items listed on auction, # of bids received on the item, whether the auction ended without a bid, etc.""",https://www.upwork.com/jobs/Web-Scraping-for-Auction-Data_~01ddb5f84b84a90857?source=rss
tools," Data mining, Web scraping & Data extraction ","""We are looking for an expert on data mining, web scraping & data extraction to develop an internal tool to monitor the revenue, page view and conversion trends of products on marketplaces across the world.  
 
We would like to get an estimate for this project.  Thanks. 
""",https://www.upwork.com/jobs/Data-mining-Web-scraping-amp-Data-extraction_~01b11abad5b3396c8d?source=rss
data, Data Scrapper for E-commerce ,"""Looking for an experience web data scrapper to download products from various E-commerce websites and provide the data on Excel file. 
Applicant should be able to download from given URL's the product name, product code, Short description, full description, price, ingredients, image URL. 
If product has variation - you should be able to identify when scrapping. 
If you are familiar with CS cart (this will be the destination - where the files/products you scrapped from other sources) will be imported to) - it will be a huge advantage. 
you should have your own tools for scrapping. 
This will be an ongoing project - so we prefer to work with an experienced scrapper that will be ready to commit and meet agreed deadlines.""",https://www.upwork.com/jobs/Data-Scrapper-for-commerce_~013744a1322cc4d50d?source=rss
tools, I need scraper to update my catalog ,"""I've eCommerce but I've had difficulty to update my catalog. 
I'd like to create a scraping about it, but I don't have scripting knowledge and I need your help to create it. 
I don't insert the budget. About it, we can agree through email. 
Thank you so much!""",https://www.upwork.com/jobs/need-scraper-update-catalog_~013a7e7c9bf3d5c2b5?source=rss
tools, Amazon Scraping Programm needs support ,"""I have already a programm which scrapes data out of Amazon and works with the Amazon API. It now needs support, due that the other programmer doesnt want to support it anymore. Its an ongoing job with monthly payment. I estimate the monthly effort to 2-3 hours. It also needs now already a little update. More information private.""",https://www.upwork.com/jobs/Amazon-Scraping-Programm-needs-support_~01d3a918a90bb11b7c?source=rss
data," Data scraping for Shopee, Lazada websites  ","""Data scraping of shops within the 4 selected categories: 
1. Computer & laptops 
2. Beauty & personal care or health & beauty 
3. Women’s fashion 
4. Home & living or home & lifestyle 
 
For Shopee and Lazada websites in Thailand, Vietnam, Malaysia, Indonesia, and Philippines. 
 
These are e-commerce platforms like Amazon where shops can list their items for sale. Websites are structured in listings, so likely will have to go into each listing to get store information. 
 
Data to be scraped:  
Shops details and metrics: 
 - Avg. reviews 
 - Chat response % 
 - Joined since xx months 
 - etc, etc. 
 
If possible: 
- Expanding scope to all shops in the website 
- For Lazada, calculating the average review of each shop using reviews of all of its listed items""",https://www.upwork.com/jobs/Data-scraping-for-Shopee-Lazada-websites_~0110fea02eefd336ee?source=rss
tools, Collect products data from multiple websites ,"""We are looking for someone who can build a tool(scrapper/crawler) to collect data from a list of 1000 different websites as a start. 
 
If the results are positive and the data is consistent and passes spot-checking there will be more. 
 
The data we need consists of products details (category, size, price...) along with some other information mentioned on these websites. 
 
An excel template will be provided with the full data columns required. 
 
We also require an estimate on the time that this would take to ""programme"" the Scraper 
and the time it will likely take to collect the data and the software that you would use to populate the template. 
  
Please send an offer if you able to deliver on the above.""",https://www.upwork.com/jobs/Collect-products-data-from-multiple-websites_~018659e362081866f9?source=rss
tools, Scrape eBay data and compare to list of product IDs ,"""Scrape this eBay data:  
 
Using the 'title' of the eBay listing, see if products scraped from eBay match any of the products in the attached file (there are four tabs).  
 
The end product should be our excel file with each of the four tabs being populated with a low and high price for any excel product IDs that match eBay listings in that scraped data. I would also like the scraped eBay data, to check your analysis.""",https://www.upwork.com/jobs/Scrape-eBay-data-and-compare-list-product-IDs_~015a791423f1d8f304?source=rss
data, Web Scraping Ecommerce Sites ,"""I need all of the data for each product listed for sale at  
 
The data must be delivered with category, product name, price, quantity (the amount in which it is sold), description, and photo.  
 
Please tell me the method you will use and what best practices you will implement.  
 
Provide a sample set of data that represents the final product.  
 
To be delivered in .csv. 
 
Additional tasks will be given if this is completed timely and successfully.""",https://www.upwork.com/jobs/Web-Scraping-Ecommerce-Sites_~013bfa924d6851d0f3?source=rss
tools, Offers extraction from Amazon Scraping ,"""Sir, 
We need a set of offers listings datas from Amazon pages, based on ASIN we will provide. 
 
We will need to update the informations every 2 or 3 Months. 
There will be 4 - 6 runs / year. 
 
We do not need the tool, we need the result in the form of Text / Excel / access file.""",https://www.upwork.com/jobs/Offers-extraction-from-Amazon-Scraping_~01b701de91aaa3e489?source=rss
data," Download products from Amazon, Wayfair extract height ","""I need to download products from amazon.com and wayfair based on a search query: 
""standing desk"" and parse the results into a spreadsheet with the following: 
 
`product url`, `product title`, `product description`, `product price`, `max height`, `width` 
 
where `max height` is typically part of the product text description. E.g in this example:   it says ``` transitioning from sitting to standing from 28"" to 46"". ```` - this means Max Height is 46"".  Crude extraction based on matching the quotation marks is ok.  
 
Ideally the script works in google sheets, so that the search keywords can be adjusted, but I would also accept if I need to provide you a list of queries and you send me back CSV or Google sheet files. This is meant to be a quick task.""",https://www.upwork.com/jobs/Download-products-from-Amazon-Wayfair-extract-height_~01e2a636df88f4f264?source=rss
data, eCommerce website scrape ,"""Need help with scraping product data from one of my supplier's websites.  
 
Please see the attached spreadsheet with a list of URLs and the second sheet with desired data output format. 
 
Please review the task carefully as I will need all data from all the supplied 12,000+ URLs. 
 
This should hopefully be a fairly easy task for someone experienced with creating automated scripts or data extraction software. 
""",https://www.upwork.com/jobs/eCommerce-website-scrape_~01e87f37b2a93127fd?source=rss
data, Export Blog Posts from RSS feed to Text Files or WordPress Simple Site ,"""I need someone to scrape all the posts from this site: 
 
(link removed)/ 
 
I am the owner of this site and the current host (jigsy) does not offer an export feature for the blog posts.  The website will be deleted on 3/20/22 due to the cancellation of the service. 
 
I want to save my posts.  There are about 350 posts altogether. 
 
I don't care about the images or tags for each post. 
 
I only care about: 
The Title 
The body text of each post. 
 
Option 1: 
 
You extract the text of each post and create a text file for each post. Then deliver all the text files in a zip file. 
 
Option 2: 
 
You extract the text of each post and put them all in one single Google Doc file. 
 
Option 3: 
 
You export each post into a WordPress site, then create a backup of all the posts so I can import it all into a new WordPress site myself. 
 
Option 4: 
 
You export each post into a new WordPress site that I will create and give you access to. 
Once all the posts are into the new WordPress site I will clean them up, add the images, and tags, etc. 
 
I'm looking for options. If you have any other suggestions please feel free to let me know. 
 
Eventually, all these blog posts have to be transferred to a new site in some way. 
 
I just don't have the time to do them all right now and my last resort will be to copy/paste each post individually and get to this when I have time. 
""",https://www.upwork.com/jobs/Export-Blog-Posts-from-RSS-feed-Text-Files-WordPress-Simple-Site_~018eb93e68dddd353a?source=rss
tools, Amazon SKU Match in Excel ,"""Find SKUs for a list of products within an inventory spreadsheet.  The list contains 400 products.  The inventory spreadsheet contains 1200 items.  Need to find the best match for each product from the spreadsheet.  """,https://www.upwork.com/jobs/Amazon-SKU-Match-Excel_~0198b7c5896200b56c?source=rss
data, Web Scrapping Amazon ,"""Web Scrapping Amazon products for a search query. I myself tried but was not able to it for all pages. If it works for other sites then amazing. Basically one who is expert with parse hub""",https://www.upwork.com/jobs/Web-Scrapping-Amazon_~01697815ca5fe8ca82?source=rss
leads, Ecommerce Web Scraping - Extract Information from Websites ,"""Hello, 
 
We have a list of 8,000 ecommerce websites. We need to extract the following information from each site: 
 
- Total products pages 
- Total non-product pages 
- Legal name of company (such as XYZ Inc, XYZ LLC) 
- Physical/mailing address of office 
- LinkedIn address of owner, CEO, founder of company 
- Identify if the company has physical store locations 
""",https://www.upwork.com/jobs/Ecommerce-Web-Scraping-Extract-Information-from-Websites_~019db54a287ff633ab?source=rss
tools, Crawler for Product Page URLS ,"""We are looking for a developer with web crawling/scraping experience to write an automated process to search for product SKUs for a list of URLs.  We have a client that wants to determine which SKUs are represented on a list of locations that carry their products.  I can provide the URLs and the product SKUs.  """,https://www.upwork.com/jobs/Crawler-for-Product-Page-URLS_~0154775cd661102c6b?source=rss
tools, Crawler for Product Page URLS ,"""We are looking for a developer with web crawling/scraping experience to write an automated process to search for product SKUs for a list of URLs.  We have a client that wants to determine which SKUs are represented on a list of locations that carry their products.  I can provide the URLs and the product SKUs.  """,https://www.upwork.com/jobs/Crawler-for-Product-Page-URLS_~0154775cd661102c6b?source=rss
tools, Scrapy for ecommerce websites ,"""We have to scrape a number of ecommerce websites. Experienced developer please apply""",https://www.upwork.com/jobs/Scrapy-for-ecommerce-websites_~01b1affc5335776b77?source=rss
tools, Website & Product Data Scraping ,"""We require the services of a professional website and product data scraper. 
Our client needs the existing product data on their website which is hosted on webflow scraped into a format for adding to their new Shopify site.""",https://www.upwork.com/jobs/Website-amp-Product-Data-Scraping_~01f0e310ff0af7c4ec?source=rss
leads, Shopify Store Owners ,"""I am looking to contact Shopify Store Owners however need their contact details in order to contact them. 
 
Company Profiles (attached) to be completed for all Amazon and Shopify Online Stores by Country. 
 
The expectation is there would be a minimum of 500k lines of entry. 
 
If you plan to do this manually please don't apply. This is not an admin role. 
""",https://www.upwork.com/jobs/Shopify-Store-Owners_~0146c26f135e24d149?source=rss
tools," (Google Shopping + Manual Scrape shops) Price monitoring, comparison & repricing tool ","""Hi There, 
 
I'm looking for someone with experience crawling prices from various e-commerce websites. I need a Price monitoring, comparison & repricing tool. 
 
We want to apply this for internal use only. Perhaps someone has established a platform before? We will host this server ourselves. 
 
Hope someone can help me.""",https://www.upwork.com/jobs/Web-scraper-for-commerce-Woocommerce-dynamic-pricing-Google-Shopping-Manual-Scrape-shops_~0126a4d50537a29a4c?source=rss
tools, Retail Price + Data Scraper (Python) ,"""I am looking for a Python scraper to extract prices and other data from a popular retail website.  
 
I will provide a set of root pages and you extract all the products on the page.  
 
Then you will save this data into an SQLite database using provided schema. 
 
Requirements: 
-Peewee or SQLAlchemy 
-asyncio or threading/queue for concurrent requests 
-Multiple proxy support 
 
This is a paid interview, if this goes well you will get more projects.""",https://www.upwork.com/jobs/Retail-Price-Data-Scraper-Python_~01334c37ed21fb59fb?source=rss
data, Mobile Application Data Scraping ,"""Hi, 
 
There is a big eCommerce mobile application in our country like amazon. 
 
We want you to scrape all product information (Name, Price, Image, etc) and export them to a website. We would like to see storage that data and create a chart or excel sheet. 
 
We want to see changes and historical data as well after we collect data. Want to see live daily data too. 
 
eCommerce company doesn't have a website so you can't scarape data from a webpage  
 
They have only a mobile application so you will get the information from the mobile application. 
 
Please send me the details of your previous work. give me an estimated time and budget. 
 
 
""",https://www.upwork.com/jobs/Mobile-Application-Data-Scraping_~01b84f327bdcf076bf?source=rss
data, Scrape data from a mobile app ,"""The task is about scraping data from a mobile app and storing it in a CSV format. The data is in the standard form of a list of products with name, unit, price etc.""",https://www.upwork.com/jobs/Scrape-data-from-mobile-app_~015afb47ddde8cefb7?source=rss
tools," Scrape products detail from different ecommerce websites
 ","""Need to Scrape products detail from Different E-commerce websites. 
List of websites will be provided but we have some requirements. 
If you think you are the one then First of all check our requirements and all the details of the project by Clicking at Sections on the web page given below: 
(link removed)""",https://www.upwork.com/jobs/Scrape-products-detail-from-different-ecommerce-websites_~01255794e59ece94be?source=rss
tools, Need web scraping help for moving old Wordpress blog to new Squarespace blog ,"""Hi, I need to move ALL old blog posts from Blog #1 on Wordpress to a new Blog #2 on Squarespace. 
 
Blog #1 is here: (link removed) 
 
You can see there are 22 pages of blog posts -- so, there seem to be roughly 100 old blog posts that I need to move over. 
 
You do not need to edit any of the posts. I only need to grab all of the old blog info and paste it over to my new blog as plain text. 
 
Ideally this could be done with a web crawler or web scraper of some kind? I am not sure. 
 
The final deliverable will be complete when all the old blog posts have been successfully moved over to the new blog.  
 
I will share the URL for the new blog once we start to message with one another. 
 
Thank you!""",https://www.upwork.com/jobs/Need-web-scraping-help-for-moving-old-Wordpress-blog-new-Squarespace-blog_~0148f220883bc2a48d?source=rss
tools, Content Scraping and Product Creation  ,"""I'm looking for someone to pull product imagery from brand websites for e-commerce product detail pages. I need clean and crisp looking product and will provide the list of UPCs to be focused on.""",https://www.upwork.com/jobs/Content-Scraping-and-Product-Creation_~01ac21d8b3c3ebead3?source=rss
tools, asyncio Python Retail Price Scraper ,"""I am looking for a simple scraper built using python, asyncio and stores to an SQLite database using a specific provided database schema.  
 
The retail site is a fast fashion retailer. The goal is to extract prices, titles and other fields from a specific section.  
 
The end deliverable is the scraper code itself functioning as outlined above. I expect the crawler to be built in a modular and re-usable fashion. 
 
To apply please share your scraping experience. And also your knowledge of asyncio or willingness to use asyncio for this project. Thank you for your time.""",https://www.upwork.com/jobs/asyncio-Python-Retail-Price-Scraper_~0120982b986f092f06?source=rss
tools, Need Expert form Website Scraping (Woocommerce) ,"""Hi  
We need Quotation for 2000 products Scraping. Please check Attachments. 
We require CSV/Excel Sheet in WooCommerce Format. 
Here is a Link as A demo. 
 
Thank you  
 
 
""",https://www.upwork.com/jobs/Need-Expert-form-Website-Scraping-Woocommerce_~01c9834bd0d19aa83c?source=rss
data, Scraping amazon data ,"""Extract product data from amazon.com and put product details in csv file. The images should be named by product name followed by count of images.""",https://www.upwork.com/jobs/Scraping-amazon-data_~01eba3da6075a22088?source=rss
